time,inlet-p,outlet-p,time
0,4293339,4293339,0
0.1,4293339,4235423,0.1
0.2,4284687.6837549,4177507,0.2
0.3,4266892.7865923,4119591,0.3
0.4,4241734.6362635,4061675,0.4
0.5,4210919.4178062,4003759,0.5
0.6,4175745.7726097,3945843,0.6
0.7,4137171.6650081,3887927,0.7
0.8,4095911.3784521,3830011,0.8
0.9,4052507.6817971,3772095,0.9
1,4007380.6346536,3714179,1
1.1,3960860.476661,3485962.5,1.1
1.2,3906476.4874922,3257746,1.2
1.3,3841213.8676713,3029529.5,1.3
1.4,3765357.6296643,2801313,1.4
1.5,3680402.4477226,2573096.5,1.5
1.6,3588039.8722748,2344880,1.6
1.7,3489833.925997,2116663.5,1.7
1.8,3387153.8224875,1888447,1.8
1.9,3281185.5332,1660230.5,1.9
2,3172961.9757345,1432014,2
2.1,3063393.6131072,1347897.9,2.1
2.2,2953664.1485967,1263781.8,2.2
2.3,2845040.8025101,1179665.7,2.3
2.4,2738573.5555847,1095549.6,2.4
2.5,2634978.7844234,1011433.5,2.5
2.6,2534669.98559,927317.4,2.6
2.7,2437839.8306184,843201.3,2.7
2.8,2344539.320823,759085.2,2.8
2.9,2254737.0743711,674969.1,2.9
3,2168358.892289,590853,3
3.1,2085312.6405512,561895,3.1
3.2,2005548.4247315,532937,3.2
3.3,1929061.9746596,503979,3.3
3.4,1855856.4469401,475021,3.4
3.5,1785909.1840856,446063,3.5
3.6,1719160.4064297,417105,3.6
3.7,1655517.0644462,388147,3.7
3.8,1594862.5341954,359189,3.8
3.9,1537066.5009345,330231,3.9
4,1481992.8744958,301273,4
4.1,1429505.4360751,291620.3,4.1
4.2,1379478.3757175,281967.6,4.2
4.3,1331800.1732099,272314.9,4.3
4.4,1286369.5081219,262662.2,4.4
4.5,1243089.125181,253009.5,4.5
4.6,1201862.1087735,243356.8,4.6
4.7,1162590.9111501,233704.1,4.7
4.8,1125178.0035438,224051.4,4.8
4.9,1089527.0829978,214398.7,4.9
5,1055544.2384014,204746,5
5.1,1023138.8490897,198540.8,5.1
5.2,992224.98431617,192335.6,5.2
5.3,962722.19750905,186130.4,5.3
5.4,934555.24775711,179925.2,5.4
5.5,907653.32150508,173720,5.5
5.6,881949.33798149,167514.8,5.6
5.7,857379.53261323,161309.6,5.7
5.8,833883.26610988,155104.4,5.8
5.9,811402.95023885,148899.2,5.9
6,789884.00898135,142694,6
6.1,769274.83320469,140625.5,6.1
6.2,749527.39935642,138557,6.2
6.3,730597.06721353,136488.5,6.3
6.4,712442.9163708,134420,6.4
6.5,695026.92879105,132351.5,6.5
6.6,678313.34593933,130283,6.6
6.7,662268.20926203,128214.5,6.7
6.8,646859.1030492,126146,6.8
6.9,632055.03852827,124077.5,6.9
7,617826.41214726,122009,7
7.1,604144.99159928,120630.1,7.1
7.2,590983.96673431,119251.2,7.2
7.3,578318.00144434,117872.3,7.3
7.4,566123.21323279,116493.4,7.4
7.5,554377.08256682,115114.5,7.5
7.6,543058.33516089,113735.6,7.6
7.7,532146.83243778,112356.7,7.7
7.8,521623.48357095,110977.8,7.8
7.9,511470.1779087,109598.9,7.9
8,501669.73152851,108220,8
8.1,492205.84194537,108220,8.1
8.2,483072.20411722,108220,8.2
8.3,474244.75665328,108220,8.3
8.4,465710.1733158,108220,8.4
8.5,457456.05226017,108220,8.5
8.6,449470.779851,108220,8.6
8.7,441743.39375566,108220,8.7
8.8,434263.47447452,108220,8.8
8.9,427021.07130902,108220,8.9
9,420006.65652691,108220,9
9.1,413211.09831145,108220,9.1
9.2,406625.64437664,108220,9.2
9.3,400241.91065652,108220,9.3
9.4,394051.87175008,108220,9.4
9.5,388047.85141195,108220,9.5
9.6,382222.51237105,108220,9.6
9.7,376568.84530712,108220,9.7
9.8,371080.15708289,108220,9.8
9.9,365750.05843669,108220,9.9
10,360572.45136217,108220,10
10.1,355541.51638331,107530.5,10.1
10.2,350646.8229273,106841,10.2
10.3,345888.10829532,106151.5,10.3
10.4,341260.11256734,105462,10.4
10.5,336757.70205126,104772.5,10.5
10.6,332375.88124931,104083,10.6
10.7,328109.81953041,103393.5,10.7
10.8,323954.87822584,102704,10.8
10.9,319906.62987371,102014.5,10.9
11,315960.86725357,101325,11
11.1,312113.60339034,101325,11.1
11.2,308364.79950331,101325,11.2
11.3,304707.04333957,101325,11.3
11.4,301137.09910865,101325,11.4
11.5,297651.99483208,101325,11.5
11.6,294248.999357,101325,11.6
11.7,290925.58506166,101325,11.7
11.8,287679.38690571,101325,11.8
11.9,284508.16572857,101325,11.9
12,281409.77950555,101325,12
12.1,278382.16303582,101325,12.1
12.2,275423.31480793,101325,12.2
12.3,272531.28922521,101325,12.3
12.4,269704.19245992,101325,12.4
12.5,266940.18055401,101325,12.5
12.6,264237.45877299,101325,12.6
12.7,261594.28155342,101325,12.7
12.8,259008.95263646,101325,12.8
12.9,256479.82515453,101325,12.9
13,254005.30155354,101325,13
13.1,251583.83330354,101325,13.1
13.2,249213.92039273,101325,13.2
13.3,246894.11062202,101325,13.3
13.4,244622.9987277,101325,13.4
13.5,242399.22536366,101325,13.5
13.6,240221.47597348,101325,13.6
13.7,238088.47958085,101325,13.7
13.8,235999.00752269,101325,13.8
13.9,233951.87214607,101325,13.9
14,231945.92548641,101325,14
14.1,229980.05794109,101325,14.1
14.2,228053.19694997,101325,14.2
14.3,226164.30569186,101325,14.3
14.4,224312.38180383,101325,14.4
14.5,222512.83051545,101325,14.5
14.6,220747.71184542,101325,14.6
14.7,219016.14362922,101325,14.7
14.8,217317.27228574,101325,14.8
14.9,215650.27177115,101325,14.9
15,214014.34255977,101325,15
15.1,212408.71065807,101325,15.1
15.2,210832.62665341,101325,15.2
15.3,209285.36479754,101325,15.3
15.4,207766.22212494,101325,15.4
15.5,206274.51760543,101325,15.5
15.6,204809.59133026,101325,15.6
15.7,203370.80373085,101325,15.7
15.8,201957.53482902,101325,15.8
15.9,200569.18351775,101325,15.9
16,199205.16687117,101325,16
16.1,197864.91948278,101325,16.1
16.2,196547.89283064,101325,16.2
16.3,195253.55466862,101325,16.3
16.4,193981.38844239,101325,16.4
16.5,192730.89272928,101325,16.5
16.6,191501.58070095,101325,16.6
16.7,190292.97960782,101325,16.7
16.8,189104.63028448,101325,16.8
16.9,187936.08667497,101325,16.9
17,186786.91537723,101325,17
17.1,185656.69520579,101325,17.1
17.2,184545.01677194,101325,17.2
17.3,183451.48208063,101325,17.3
17.4,182375.70414328,101325,17.4
17.5,181317.30660593,101325,17.5
17.6,180275.92339196,101325,17.6
17.7,179251.1983588,101325,17.7
17.8,178242.78496799,101325,17.8
17.9,177250.345968,101325,17.9
18,176273.55308933,101325,18
18.1,175312.08675123,101325,18.1
18.2,174365.63577968,101325,18.2
18.3,173433.89713605,101325,18.3
18.4,172516.575656,101325,18.4
18.5,171613.38379824,101325,18.5
18.6,170724.0414026,101325,18.6
18.7,169848.27545725,101325,18.7
18.8,168985.81987434,101325,18.8
18.9,168136.4152741,101325,18.9
19,167299.80877671,101325,19
19.1,166475.75380182,101325,19.1
19.2,165664.00987532,101325,19.2
19.3,164864.3424431,101325,19.3
19.4,164076.52269147,101325,19.4
19.5,163300.32737399,101325,19.5
19.6,162535.53864447,101325,19.6
19.7,161781.94389589,101325,19.7
19.8,161039.33560491,101325,19.8
19.9,160307.5111819,101325,19.9
20,159586.27282614,101325,20
20.1,158875.42738601,101325,20.1
20.2,158174.78622412,101325,20.2
20.3,157484.16508686,101325,20.3
20.4,156803.38397859,101325,20.4
20.5,156132.26703999,101325,20.5
20.6,155470.64243053,101325,20.6
20.7,154818.34221491,101325,20.7
20.8,154175.20225328,101325,20.8
20.9,153541.06209512,101325,20.9
21,152915.76487661,101325,21
21.1,152299.15722139,101325,21.1
21.2,151691.08914459,101325,21.2
21.3,151091.41395992,101325,21.3
21.4,150499.9881899,101325,21.4
21.5,149916.67147883,101325,21.5
21.6,149341.32650868,101325,21.6
21.7,148773.8189176,101325,21.7
21.8,148214.01722106,101325,21.8
21.9,147661.79273545,101325,21.9
22,147117.01950413,101325,22
22.1,146579.57422573,101325,22.1
22.2,146049.33618477,101325,22.2
22.3,145526.18718441,101325,22.3
22.4,145010.01148118,101325,22.4
22.5,144500.69572189,101325,22.5
22.6,143998.12888235,101325,22.6
22.7,143502.20220794,101325,22.7
22.8,143012.80915612,101325,22.8
22.9,142529.8453405,101325,22.9
23,142053.20847673,101325,23
23.1,141582.79832994,101325,23.1
23.2,141118.51666372,101325,23.2
23.3,140660.26719073,101325,23.3
23.4,140207.95552459,101325,23.4
23.5,139761.48913336,101325,23.5
23.6,139320.77729425,101325,23.6
23.7,138885.73104971,101325,23.7
23.8,138456.26316477,101325,23.8
23.9,138032.28808564,101325,23.9
24,137613.72189945,101325,24
24.1,137200.48229515,101325,24.1
24.2,136792.48852561,101325,24.2
24.3,136389.66137062,101325,24.3
24.4,135991.92310113,101325,24.4
24.5,135599.19744431,101325,24.5
24.6,135211.40954976,101325,24.6
24.7,134828.48595649,101325,24.7
24.8,134450.35456097,101325,24.8
24.9,134076.94458594,101325,24.9
25,133708.18655016,101325,25
25.1,133344.01223892,101325,25.1
25.2,132984.35467541,101325,25.2
25.3,132629.14809285,101325,25.3
25.4,132278.32790734,101325,25.4
25.5,131931.83069146,101325,25.5
25.6,131589.5941486,101325,25.6
25.7,131251.55708797,101325,25.7
25.8,130917.65940019,101325,25.8
25.9,130587.84203368,101325,25.9
26,130262.04697149,101325,26
26.1,129940.21720892,101325,26.1
26.2,129622.29673157,101325,26.2
26.3,129308.23049403,101325,26.3
26.4,128997.96439916,101325,26.4
26.5,128691.4452778,101325,26.5
26.6,128388.62086909,101325,26.6
26.7,128089.43980127,101325,26.7
26.8,127793.85157293,101325,26.8
26.9,127501.80653479,101325,26.9
27,127213.2558719,101325,27
27.1,126928.15158631,101325,27.1
27.2,126646.44648018,101325,27.2
27.3,126368.09413924,101325,27.3
27.4,126093.04891679,101325,27.4
27.5,125821.26591799,101325,27.5
27.6,125552.70098453,101325,27.6
27.7,125287.3106798,101325,27.7
27.8,125025.05227427,101325,27.8
27.9,124765.88373129,101325,27.9
28,124509.7636933,101325,28
28.1,124256.65146824,101325,28.1
28.2,124006.5070164,101325,28.2
28.3,123759.29093751,101325,28.3
28.4,123514.96445819,101325,28.4
28.5,123273.48941967,101325,28.5
28.6,123034.82826581,101325,28.6
28.7,122798.94403139,101325,28.7
28.8,122565.80033069,101325,28.8
28.9,122335.36134632,101325,28.9
29,122107.59181835,101325,29
29.1,121882.45703363,101325,29.1
29.2,121659.92281539,101325,29.2
29.3,121439.95551311,101325,29.3
29.4,121222.52199255,101325,29.4
29.5,121007.58962609,101325,29.5
29.6,120795.12628321,101325,29.6
29.7,120585.10032124,101325,29.7
29.8,120377.48057631,101325,29.8
29.9,120172.23635447,101325,29.9
30,119969.33742308,101325,30
30.1,119768.75400228,101325,30.1
30.2,119570.45675678,101325,30.2
30.3,119374.41678772,101325,30.3
30.4,119198.22732731,101325,30.4
30.5,119023.85677241,101325,30.5
30.6,118851.2843483,101325,30.6
30.7,118680.48955767,101325,30.7
30.8,118511.45217643,101325,30.8
30.9,118344.15224932,101325,30.9
31,118178.57008571,101325,31
31.1,118014.68625538,101325,31.1
31.2,117852.48158431,101325,31.2
31.3,117691.93715065,101325,31.3
31.4,117533.03428066,101325,31.4
31.5,117375.75454478,101325,31.5
31.6,117220.07975368,101325,31.6
31.7,117065.99195452,101325,31.7
31.8,116913.47342714,101325,31.8
31.9,116762.5066804,101325,31.9
32,116613.07444863,101325,32
32.1,116465.15968801,101325,32.1
32.2,116318.74557316,101325,32.2
32.3,116173.81549377,101325,32.3
32.4,116030.35305119,101325,32.4
32.5,115888.34205525,101325,32.5
32.6,115747.76652102,101325,32.6
32.7,115608.61066567,101325,32.7
32.8,115470.85890538,101325,32.8
32.9,115334.49585238,101325,32.9
33,115199.50631189,101325,33
33.1,115065.8752793,101325,33.1
33.2,114933.58793725,101325,33.2
33.3,114802.62965289,101325,33.3
33.4,114672.98597506,101325,33.4
33.5,114544.64263163,101325,33.5
33.6,114417.58552686,101325,33.6
33.7,114291.80073876,101325,33.7
33.8,114167.27451656,101325,33.8
33.9,114043.99327818,101325,33.9
34,113921.94360779,101325,34
34.1,113801.11225334,101325,34.1
34.2,113681.48612425,101325,34.2
34.3,113563.05228902,101325,34.3
34.4,113445.79797292,101325,34.4
34.5,113329.7105558,101325,34.5
34.6,113214.77756982,101325,34.6
34.7,113100.98669726,101325,34.7
34.8,112988.32576844,101325,34.8
34.9,112876.78275956,101325,34.9
35,112766.34579066,101325,35
35.1,112657.00312357,101325,35.1
35.2,112548.74315992,101325,35.2
35.3,112441.5544392,101325,35.3
35.4,112335.42563679,101325,35.4
35.5,112230.34556207,101325,35.5
35.6,112126.30315659,101325,35.6
35.7,112023.28749219,101325,35.7
35.8,111921.28776923,101325,35.8
35.9,111820.29331478,101325,35.9
36,111720.29358093,101325,36
36.1,111621.27814302,101325,36.1
36.2,111523.23669797,101325,36.2
36.3,111426.15906265,101325,36.3
36.4,111330.03517222,101325,36.4
36.5,111234.8550785,101325,36.5
36.6,111140.60894846,101325,36.6
36.7,111047.28706261,101325,36.7
36.8,110954.87981349,101325,36.8
36.9,110863.37770415,101325,36.9
37,110772.77134671,101325,37
37.1,110683.05146088,101325,37.1
37.2,110594.20887251,101325,37.2
37.3,110506.23451221,101325,37.3
37.4,110419.11941396,101325,37.4
37.5,110332.85471372,101325,37.5
37.6,110247.43164812,101325,37.6
37.7,110162.84155311,101325,37.7
37.8,110079.07586268,101325,37.8
37.9,109996.12610756,101325,37.9
38,109913.98391397,101325,38
38.1,109832.64100238,101325,38.1
38.2,109752.08918628,101325,38.2
38.3,109672.320371,101325,38.3
38.4,109593.32655248,101325,38.4
38.5,109515.09981614,101325,38.5
38.6,109437.63233573,101325,38.6
38.7,109360.91637219,101325,38.7
38.8,109284.94427252,101325,38.8
38.9,109209.70846872,101325,38.9
39,109135.20147667,101325,39
39.1,109061.41589511,101325,39.1
39.2,108988.34440456,101325,39.2
39.3,108915.97976628,101325,39.3
39.4,108844.3148213,101325,39.4
39.5,108773.34248935,101325,39.5
39.6,108703.05576794,101325,39.6
39.7,108633.44773135,101325,39.7
39.8,108564.51152968,101325,39.8
39.9,108496.24038792,101325,39.9
40,108428.627605,101325,40
40.1,108361.66655288,101325,40.1
40.2,108295.35067566,101325,40.2
40.3,108229.67348867,101325,40.3
40.4,108164.62857761,101325,40.4
40.5,108100.20959769,101325,40.5
40.6,108036.41027276,101325,40.6
40.7,107973.22439449,101325,40.7
40.8,107910.64582153,101325,40.8
40.9,107848.66847869,101325,40.9
41,107787.28635616,101325,41
41.1,107726.4935087,101325,41.1
41.2,107666.28405487,101325,41.2
41.3,107606.65217624,101325,41.3
41.4,107547.59211666,101325,41.4
41.5,107489.0981815,101325,41.5
41.6,107431.1647369,101325,41.6
41.7,107373.78620906,101325,41.7
41.8,107316.9570835,101325,41.8
41.9,107260.67190441,101325,41.9
42,107204.92527387,101325,42
42.1,107149.71185124,101325,42.1
42.2,107095.02635242,101325,42.2
42.3,107040.86354922,101325,42.3
42.4,106987.21826871,101325,42.4
42.5,106934.08539252,101325,42.5
42.6,106881.45985625,101325,42.6
42.7,106829.3366488,101325,42.7
42.8,106777.71081178,101325,42.8
42.9,106726.57743887,101325,42.9
43,106675.93167522,101325,43
43.1,106625.76871684,101325,43.1
43.2,106576.08381005,101325,43.2
43.3,106526.87225083,101325,43.3
43.4,106478.12938432,101325,43.4
43.5,106429.85060419,101325,43.5
43.6,106382.03135211,101325,43.6
43.7,106334.66711722,101325,43.7
43.8,106287.75343551,101325,43.8
43.9,106241.28588938,101325,43.9
44,106195.26010704,101325,44
44.1,106149.67176199,101325,44.1
44.2,106104.51657254,101325,44.2
44.3,106059.79030129,101325,44.3
44.4,106015.4887546,101325,44.4
44.5,105971.60778211,101325,44.5
44.6,105928.14327626,101325,44.6
44.7,105885.09117179,101325,44.7
44.8,105842.44744528,101325,44.8
44.9,105800.20811465,101325,44.9
45,105758.36923872,101325,45
45.1,105716.92691676,101325,45.1
45.2,105675.87728799,101325,45.2
45.3,105635.21653119,101325,45.3
45.4,105594.9408642,101325,45.4
45.5,105555.04654355,101325,45.5
45.6,105515.52986397,101325,45.6
45.7,105476.38715799,101325,45.7
45.8,105437.61479553,101325,45.8
45.9,105399.20918346,101325,45.9
46,105361.16676521,101325,46
46.1,105323.48402037,101325,46.1
46.2,105286.15746427,101325,46.2
46.3,105249.1836476,101325,46.3
46.4,105212.55915603,101325,46.4
46.5,105176.28060979,101325,46.5
46.6,105140.34466333,101325,46.6
46.7,105104.74800494,101325,46.7
46.8,105069.48735636,101325,46.8
46.9,105034.55947241,101325,46.9
47,104999.96114067,101325,47
47.1,104965.68918107,101325,47.1
47.2,104931.74044559,101325,47.2
47.3,104898.11181788,101325,47.3
47.4,104864.8002129,101325,47.4
47.5,104831.80257664,101325,47.5
47.6,104799.11588571,101325,47.6
47.7,104766.73714709,101325,47.7
47.8,104734.66339771,101325,47.8
47.9,104702.89170423,101325,47.9
48,104671.41916263,101325,48
48.1,104640.24289794,101325,48.1
48.2,104609.36006392,101325,48.2
48.3,104578.76784276,101325,48.3
48.4,104548.46344477,101325,48.4
48.5,104518.44410806,101325,48.5
48.6,104488.70709827,101325,48.6
48.7,104459.24970827,101325,48.7
48.8,104430.06925787,101325,48.8
48.9,104401.16309352,101325,48.9
49,104372.52858805,101325,49
49.1,104344.16314036,101325,49.1
49.2,104316.06417516,101325,49.2
49.3,104288.22914274,101325,49.3
49.4,104260.65551859,101325,49.4
49.5,104233.34080326,101325,49.5
49.6,104206.28252201,101325,49.6
49.7,104179.47822457,101325,49.7
49.8,104152.92548491,101325,49.8
49.9,104126.62190095,101325,49.9
50,104100.56509433,101325,50
