time,inlet-p
0,7002980
1,6630662.7
2,5665396.3
3,4727709
4,3948601.1
5,3300493.6
6,2797176.2
7,2349016.8
8,1969805
9,1652646
10,1390645.1
11,1183802.3
12,970064.8
13,839064.3
14,701169.1
15,611537.2
16,549484.4
17,466747.3
18,404694.4
19,356431.1
20,315062.6
21,280588.8
22,253009.7
23,225430.7
24,204746.4
25,190956.9
26,177167.4
27,163377.8
28,156483.1
29,149588.3
30,142693.6
31,135798.8
32,135798.8
33,128904
34,122009.3
35,122009.3
36,122009.3
37,115114.5
38,115114.5
39,115114.5
40,115114.5
41,108219.8
42,108219.8
43,101325
44,101325
45,101325
46,101325
47,101325
48,101325
49,101325
50,101325
51,101325
52,101325
53,101325
54,101325
55,101325
56,101325
57,101325
58,101325
59,101325
60,101325
61,101325
62,101325
63,101325
64,101325
65,101325
66,101325
67,101325
68,101325
69,101325
70,101325
71,101325
72,101325
73,101325
74,101325
75,101325
76,101325
77,101325
78,101325
79,101325
80,101325
81,101325
82,101325
83,101325
84,101325
85,101325
86,101325
87,101325
88,101325
89,101325
90,101325
91,101325
92,101325
93,101325
94,101325