t,pressure
0,5617133
1,2866123.76
2,1121749.48
3,473642.04
4,280588.76
5,184062.12
6,135798.8
7,115114.52
8,108219.76
9,108219.76
10,108219.76
11,101325
12,101325
13,101325 
14,101325
15,101325
16,101325
17,101325
18,101325
19,101325
20,101325
21,101325
22,101325
23,101325 
24,101325
25,101325
26,101325
27,101325
28,101325
29,101325
30,101325
31,101325
32,101325
33,101325
34,101325
35,101325
36,101325
37,101325
38,101325
39,101325
40,101325
41,101325
42,101325
43,101325
44,101325